Pocet obrazku je:  7753
time to get pictures:  46.29034352302551 s
time to get labels:  3.003983974456787 s
(7753, 3, 480, 302)
Epoch: 1/100 	 Training set accuracy: 16018.26907
Epoch: 1/100 	 Validation set accuracy: 16036.45076
Epoch: 2/100 	 Training set accuracy: 15922.29071
Epoch: 2/100 	 Validation set accuracy: 16663.12961
Epoch: 3/100 	 Training set accuracy: 15883.67515
Epoch: 3/100 	 Validation set accuracy: 16919.63232
Epoch: 4/100 	 Training set accuracy: 15829.34914
Epoch: 4/100 	 Validation set accuracy: 16662.78218
Epoch: 5/100 	 Training set accuracy: 15776.60782
Epoch: 5/100 	 Validation set accuracy: 16849.93728
Epoch: 6/100 	 Training set accuracy: 15694.90983
Epoch: 6/100 	 Validation set accuracy: 17951.37977
Epoch: 7/100 	 Training set accuracy: 15530.19879
Epoch: 7/100 	 Validation set accuracy: 17132.55613
Epoch: 8/100 	 Training set accuracy: 15137.55968
Epoch: 8/100 	 Validation set accuracy: 18232.67473
Epoch: 9/100 	 Training set accuracy: 14000.77834
Epoch: 9/100 	 Validation set accuracy: 20169.31158
Epoch: 10/100 	 Training set accuracy: 12351.25957
Epoch: 10/100 	 Validation set accuracy: 18099.83604
Epoch: 11/100 	 Training set accuracy: 11025.88736
Epoch: 11/100 	 Validation set accuracy: 19866.28337
Epoch: 12/100 	 Training set accuracy: 9996.02564
Epoch: 12/100 	 Validation set accuracy: 19999.88354
Epoch: 13/100 	 Training set accuracy: 8788.43334
Epoch: 13/100 	 Validation set accuracy: 24595.23091
Epoch: 14/100 	 Training set accuracy: 8521.89795
Epoch: 14/100 	 Validation set accuracy: 26066.01235
Epoch: 15/100 	 Training set accuracy: 7606.04542
Epoch: 15/100 	 Validation set accuracy: 21954.68774
Epoch: 16/100 	 Training set accuracy: 7020.06673
Epoch: 16/100 	 Validation set accuracy: 25273.76660
Epoch: 17/100 	 Training set accuracy: 6637.63704
Epoch: 17/100 	 Validation set accuracy: 23121.71105
Epoch: 18/100 	 Training set accuracy: 6156.27954
Epoch: 18/100 	 Validation set accuracy: 22598.12476
Epoch: 19/100 	 Training set accuracy: 5570.95503
Epoch: 19/100 	 Validation set accuracy: 26094.81559
Epoch: 20/100 	 Training set accuracy: 5169.81903
